timestamp,open,high,low,close,volume
2018-11-27,1854.0000,1897.9000,1835.3500,1890.2500,3344839
2018-11-26,1819.0000,1860.0000,1784.5000,1846.1000,4333177
2018-11-22,1820.0000,1847.6000,1809.9500,1812.5500,3194219
2018-11-21,1871.0000,1871.0500,1798.5500,1812.0000,3840461
2018-11-20,1902.0000,1902.0000,1874.2000,1878.2500,1190182
2018-11-19,1899.0000,1907.3500,1864.3000,1902.4500,1740628
2018-11-16,1889.0000,1899.8000,1870.2500,1886.6000,1829729
2018-11-15,1864.0000,1899.0000,1857.6000,1872.8500,1829123
2018-11-14,1925.0000,1929.9000,1870.0000,1880.6500,2422318
2018-11-13,1915.0000,1939.0000,1903.0000,1934.9500,1418430
2018-11-12,1908.5000,1946.1000,1908.5000,1914.8500,2552008
2018-11-09,1961.0000,1961.9500,1905.0000,1909.2000,2570479
